scramble,target,response,image_category,image_name,image_invert,image_list
False,True,"['match', 926.0735439357738]",beach,beaches_20081106_00021.jpg,False,Good
False,True,"['match', 928.593395527226]",city,city_00133.jpg,False,Bad
True,False,"['match', 931.2183579739686]",city,city_20081106_00008.jpg,False,Good
True,False,"['nonmatch', 933.6934347045162]",city,city_00342.jpg,True,Good
True,False,"['match', 936.2516658628929]",office,offices_00594.jpg,True,Bad
True,False,"['nonmatch', 938.7198263781725]",highway,highways_20081106_00093.jpg,False,Good
True,False,"['match', 941.3269175846686]",office,offices_00625.jpg,True,Good
True,False,"['nonmatch', 943.8428377831615]",beach,beaches_00178.jpg,True,Good
True,False,"['nonmatch', 946.4819586800555]",beach,beaches_00309.jpg,False,Bad
True,False,"['nonmatch', 948.9989930203338]",mountain,mountains_00105.jpg,False,Good
True,False,"['nonmatch', 951.5822431387946]",beach,beaches_00224.jpg,False,Good
False,True,"['match', 954.0800901705903]",mountain,mountains_00257.jpg,True,Good
False,True,"['match', 956.6604165537752]",office,offices_00627.jpg,False,Good
True,False,"['match', 959.0860802375901]",beach,beaches_20081106_00053.jpg,True,Good
True,False,"['match', 961.646359649797]",office,offices_00473.jpg,True,Good
False,True,"['match', 964.3096279103106]",city,city_00464.jpg,False,Bad
False,True,"['match', 966.902082338808]",beach,beaches_00268.jpg,False,Good
False,True,"['match', 969.4433579833253]",forest,forests_20081106_00051.jpg,False,Good
True,False,"['match', 971.9596860369919]",mountain,mountains_00475.jpg,True,Bad
False,True,"['match', 974.4617915139263]",office,offices_20081106_00003.jpg,False,Good
True,False,"['nonmatch', 977.0056246746086]",highway,highways_00328.jpg,True,Good
True,False,"['match', 979.3668061328967]",mountain,mountains_00207.jpg,True,Bad
True,False,"['nonmatch', 982.0691597527192]",beach,beaches_00586.jpg,True,Bad
False,True,"['match', 984.5177879176622]",city,city_00331.jpg,True,Bad
False,True,"['match', 987.0053370613691]",highway,highways_00323.jpg,True,Good
True,False,"['match', 989.539615887788]",beach,beaches_20081106_00037.jpg,True,Bad
True,False,"['match', 992.1752807221266]",beach,beaches_00226.jpg,False,Bad
False,True,"['match', 994.6398865826803]",office,offices_00153.jpg,True,Bad
True,False,"['nonmatch', 997.1968805009105]",forest,forests_00294.jpg,False,Good
True,False,"['nonmatch', 999.6069636931713]",city,city_20081106_00076.jpg,False,Bad
False,True,"['match', 1006.3829560084209]",forest,forests_00495.jpg,False,Bad
False,True,"['match', 1008.7779147416084]",mountain,mountains_00230.jpg,False,Good
True,False,"['match', 1011.2802177490769]",office,offices_00555.jpg,True,Bad
True,False,"['nonmatch', 1014.11973450335]",mountain,mountains_00198.jpg,True,Good
False,True,"['match', 1016.5291312686505]",beach,beaches_00517.jpg,False,Bad
False,True,"['match', 1019.0932876159128]",highway,highways_00541.jpg,True,Good
False,True,"['match', 1021.4532202529615]",highway,highways_00611.jpg,False,Bad
False,True,"['match', 1024.388259664166]",forest,forests_00587.jpg,False,Good
True,False,"['nonmatch', 1026.9698292168887]",highway,highways_00161.jpg,False,Good
False,True,"['match', 1029.669914568846]",beach,beaches_00201.jpg,True,Bad
True,False,"['nonmatch', 1032.1272645429483]",forest,forests_00342.jpg,True,Bad
False,True,"['match', 1034.530745023475]",city,city_00201.jpg,False,Good
True,False,"['nonmatch', 1037.0971068680556]",mountain,mountains_00355.jpg,True,Good
False,True,"['match', 1039.5673234214967]",highway,highways_00227.jpg,True,Bad
True,False,"['nonmatch', 1042.117962205477]",forest,forests_20081106_00018.jpg,True,Good
True,False,"['nonmatch', 1044.8961787706137]",city,city_00351.jpg,True,Bad
True,False,"['match', 1047.309568206045]",office,offices_20081106_00051.jpg,False,Good
False,True,"['match', 1049.9053655060065]",city,city_00159.jpg,False,Bad
True,False,"['nonmatch', 1052.2975354112714]",highway,highways_00220.jpg,False,Good
False,True,"['nonmatch', 1054.7476825459892]",mountain,mountains_00494.jpg,True,Bad
False,True,"['match', 1057.3403279711283]",forest,forests_00361.jpg,False,Bad
True,False,"['nonmatch', 1059.833856506324]",office,offices_00649.jpg,False,Bad
True,False,"['nonmatch', 1062.5402111269652]",highway,highways_00139.jpg,True,Bad
False,True,"['match', 1064.975856852183]",office,offices_00656.jpg,False,Good
False,True,"['match', 1067.4896916769978]",city,city_00349.jpg,True,Good
False,True,"['match', 1070.016518056507]",forest,forests_00433.jpg,False,Bad
True,False,"['nonmatch', 1072.7437947987503]",mountain,mountains_00472.jpg,False,Bad
True,False,"['nonmatch', 1075.1943359018228]",highway,highways_00156.jpg,False,Bad
True,False,"['nonmatch', 1077.64209131677]",mountain,mountains_20081106_00049.jpg,True,Good
False,True,"['match', 1080.1809082481495]",office,offices_00548.jpg,False,Bad
True,False,"['nonmatch', 1087.3193558730848]",beach,beaches_00513.jpg,False,Bad
False,True,"['nonmatch', 1089.7041159021571]",mountain,mountains_00588.jpg,True,Good
True,False,"['nonmatch', 1092.3628472857597]",city,city_20081106_00017.jpg,True,Good
False,True,"['match', 1094.7081179996992]",city,city_20081106_00029.jpg,False,Bad
True,False,"['nonmatch', 1097.28314081469]",office,offices_00402.jpg,True,Bad
False,True,"['match', 1099.7532229195835]",forest,forests_00267.jpg,True,Good
False,True,"['match', 1102.4350358299778]",forest,forests_00460.jpg,False,Bad
False,True,"['match', 1104.8823200548027]",city,city_20081106_00008.jpg,True,Good
False,True,"['match', 1107.3785722962023]",beach,beaches_20081106_00073.jpg,False,Bad
True,False,"['nonmatch', 1109.963927484921]",office,offices_20081106_00092.jpg,False,Bad
False,True,"['match', 1112.3957655143606]",highway,highways_00394.jpg,False,Good
True,False,"['nonmatch', 1115.1010501655778]",city,city_20081106_00044.jpg,False,Bad
True,False,"['nonmatch', 1118.2684985483952]",highway,highways_00585.jpg,True,Good
False,True,"['match', 1120.8118812828525]",city,city_00189.jpg,True,Good
False,True,"['nonmatch', 1123.6447654007452]",forest,forests_00520.jpg,False,Bad
False,True,"['match', 1126.2915131175753]",beach,beaches_00369.jpg,True,Good
False,True,"['match', 1128.8191692152177]",forest,forests_00524.jpg,False,Bad
False,True,"['match', 1131.3258351974068]",city,city_20081106_00029.jpg,True,Bad
True,False,"['nonmatch', 1133.8256824641192]",city,city_00314.jpg,True,Good
False,True,"['match', 1136.3069536803062]",city,city_00401.jpg,False,Bad
False,True,"['match', 1139.051403426175]",beach,beaches_20081106_00066.jpg,True,Good
False,True,"['match', 1141.4168479083057]",highway,highways_20081106_00084.jpg,False,Bad
True,False,"['nonmatch', 1143.8361905451873]",mountain,mountains_20081106_00069.jpg,True,Good
False,True,"['match', 1146.5485682855758]",highway,highways_00222.jpg,True,Good
False,True,"['nonmatch', 1149.0013718945381]",mountain,mountains_00105.jpg,True,Good
True,False,"['nonmatch', 1151.5899814599588]",mountain,mountains_00765.jpg,False,Bad
False,True,"['match', 1153.9845742771215]",city,city_00165.jpg,False,Bad
False,True,"['match', 1156.527943788742]",beach,beaches_00451.jpg,False,Bad
True,False,"['nonmatch', 1159.2212266705653]",highway,highways_00503.jpg,True,Bad
False,True,"['match', 1161.7512408390837]",mountain,mountains_00502.jpg,False,Bad
False,True,"['match', 1172.9466296613257]",city,city_00532.jpg,False,Good
False,True,"['match', 1175.482674693823]",mountain,mountains_00107.jpg,True,Good
True,False,"['nonmatch', 1178.1458164251223]",office,offices_00676.jpg,True,Good
True,False,"['nonmatch', 1180.6709448507127]",beach,beaches_20081106_00015.jpg,True,Good
False,True,"['match', 1183.009294943443]",highway,highways_00187.jpg,False,Good
False,True,"['match', 1185.6046310531153]",beach,beaches_00463.jpg,False,Bad
False,True,"['match', 1188.2786077709645]",beach,beaches_20081106_00064.jpg,False,Bad
True,False,"['nonmatch', 1190.9002852453593]",city,city_00377.jpg,True,Bad
True,False,"['nonmatch', 1193.3947479176622]",beach,beaches_00317.jpg,False,Good
True,False,"['nonmatch', 1195.8426647434462]",highway,highways_00433.jpg,True,Good
False,True,"['match', 1198.3648342082838]",office,offices_00281.jpg,False,Good
True,False,"['nonmatch', 1200.8354833062103]",highway,highways_00515.jpg,True,Bad
True,False,"['nonmatch', 1203.318495432992]",highway,highways_00222.jpg,False,Good
False,True,"['match', 1205.921551591452]",office,offices_00368.jpg,True,Bad
True,False,"['nonmatch', 1208.43052860537]",highway,highways_20081106_00100.jpg,False,Good
True,False,"['nonmatch', 1211.0085261800136]",beach,beaches_00275.jpg,True,Bad
False,True,"['match', 1213.610131357872]",office,offices_00434.jpg,False,Bad
True,False,"['nonmatch', 1216.2829927162454]",city,city_00660.jpg,False,Good
False,True,"['match', 1218.7507294240697]",beach,beaches_00355.jpg,True,Good
False,True,"['match', 1221.3790698267364]",forest,forests_00380.jpg,True,Good
False,True,"['match', 1223.8433380137342]",office,offices_20081106_00087.jpg,False,Good
False,True,"['match', 1226.3226877027953]",city,city_20081106_00066.jpg,False,Good
False,True,"['match', 1228.8232148127852]",forest,forests_00490.jpg,False,Bad
False,True,"['match', 1231.4376050151209]",forest,forests_00241.jpg,False,Good
True,False,"['nonmatch', 1233.9332758249652]",highway,highways_00437.jpg,True,Bad
True,False,"['nonmatch', 1236.4894426418941]",mountain,mountains_00614.jpg,True,Good
True,False,"['nonmatch', 1239.0780390295902]",mountain,mountains_00334.jpg,False,Good
False,True,"['match', 1241.5779550593975]",highway,highways_00512.jpg,False,Bad
False,True,"['nonmatch', 1244.0498984237522]",beach,beaches_20081106_00035.jpg,True,Bad
True,False,"['nonmatch', 1246.691070802827]",highway,highways_00388.jpg,False,Bad
True,False,"['nonmatch', 1255.0715873412307]",highway,highways_00434.jpg,False,Bad
False,True,"['match', 1257.4607339987635]",highway,highways_20081106_00058.jpg,False,Bad
True,False,"['nonmatch', 1260.0480794823814]",highway,highways_00430.jpg,False,Good
False,True,"['match', 1262.7014829703764]",city,city_00313.jpg,False,Good
False,True,"['match', 1265.2700871407328]",forest,forests_00497.jpg,False,Bad
True,False,"['nonmatch', 1267.746247700122]",beach,beaches_00465.jpg,False,Bad
True,False,"['nonmatch', 1270.356627325525]",city,city_00234.jpg,False,Good
True,False,"['nonmatch', 1272.799843295183]",city,city_00590.jpg,True,Bad
